"SongName","ArtistName","AlbumName"
"With God On Our Side","Bob Dylan","The Times They Are A-Changin'"
"Play Crack the Sky","Brand New","Deja Entendu"
"Its The End Of The World","R.E.M.","Unknown Album"
"Ohio","Neil Young","Greatest Hits"
"Flagpole Sitta","Harvey Danger","Dookie"
"Sympathy For The Devil","The Rolling Stones","Unknown Album"
"Cant Tell Me Nothing","Kanye West","Graduation"
"Harder Than You Think","Public Enemy","How You Sell Soul to a Soulless People Who Sold Their Soul???"
"Justice in Ontario","Steve Earle & The Dukes","The Hard Way"
"Smells Like Teens Spirit","Nirvana","Nevermind"
"Sodom, South Georgia","Iron & Wine","Our Endless Numbered Days"
"You Shook Me All Night Long","AC/DC","Back in Black"
"Buck Rogers","Feeder","The Singles"
"The Kids Arent Alright","The Offspring","Americana"
"New York, New York","Frank Sinatra","Duets"
"Breathe Me","Sia","Colour the Small One"
"Buffalo Soldiers","Bob Marley","Legend"
"Young Men Dead","The Black Angels","Passover"
"I'm Beautiful","Aloe Blacc","Shine Through"
"For What Its Worth","Bufallo Springfield","Forrest Gump Soundtrack CD 1"
"Im A Man You Dont Meet Everyday","The Pogues","Rum Sodomy & the Lash"
"Mathematics","Mos Def","Black on Both Sides"
"Working Class Hero","Green Day","Instant Karma: The Amnesty International Campaign to Save Darfur (disc 2)"
"Re Your Brains","Jonathan Coulton","Thing a Week III"
"Breakfast At Tiffanys","Deep Blue Something","Home"
"Dirty Old Town","The Pogues","Rum Sodomy & the Lash"
"If 6 Was 9","Jimi Hendrix","The Jimi Hendrix Experience (disc 1)"
"Fortunate Son","Creedence Clearwater Revival","Creedence Clearwater Revival"
"The Riverboat Song","Ocean Colour Scene","Moseley Shoals"
"Hate It Or Love It","50 Cent","The Massacre"
"How To Save A Life","The Fray","How To Save A Life"
"Bad Moon Rising","Creedence Clearwater Revival","Green River"
"Have You Ever Seen The Rain","Creedence Clearwater Revival","Creedence Gold"
"North Country Blues","Bob Dylan","The Times They Are A-Changin'"
"Strangers in the Night","Frank Sinatra","The Very Best of Frank Sinatra"
"Changes","2Pac","2 Pac"
"Come Alive","Foo Fighters","Echoes, Silence, Patience & Grace"
"Free Bird","Lynyrd Skynyrd","(pronounced 'leh-'nérd 'skin-'nérd)"
"She","Suede","Coming Up"
"What's My Age Again?","blink-182","What's My Age Again?"
"The Sound of Silence","Simon & Garfunkel","Sounds of Silence"
"Break On Through (to the Other Side)","The Doors","The Doors"
"Like Toy Soldiers","Eminem","Encore"
"Thickfreakness","The Black Keys","Singles & Duplicates"
"Thunderstruck","AC/DC","The Razors Edge"
"One Man Wrecking Machine","Guster","Ganging Up on the Sun"
"The Wild Rover","The Dubliners","The Dubliners Greatest Hits"
"Nice Guys Finish Last (Album Version)","Green Day","Nimrod"
"Good Times Bad Times","Led Zeppelin","Mothership"
"Poprocks & Coke","Green Day","International Superhits"
"Remember The Name (feat. Styles Of Beyond)","Fort Minor","The Rising Tied"
"J.A.R. (Jason Andrew Relva)","Green Day","International Superhits"
"Sweet Child of Mine","Guns N' Roses","Appetite For Destruction"
"Born In The U.S.A","Bruce Springsteen","The Rolling Stone Magazines 500 Greatest Songs Of All Time"
"Apologize (Ft. Timbaland)","OneRepublic","Dreaming Out Loud"
"I Got Mine","The Black Keys","Attack & Release"
"'74-'75","The Connells","Ring"
"It's a Long Way to the Top (If You Wanna Rock 'n' Roll)","AC/DC","AC/DC in the 20th Century"
"Maybe Tomorrow","Stereophonics","Maybe Tomorrow"
"I Useta Lover","The Saw Doctors","If This Is Rock and Roll, I Want My Old Job Back"
"All Along the Watchtower","Bear McCreary","Battlestar Galactica: Season 3"
